,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,2.142987,41.424923,"METRO (L3, L5)","VALL D'HEBRON/METRO (L3, L5)",4,Restaurant,Soccer Stadium,Bakery,Athletics & Sports,Farmers Market,Basketball Court,Bar,Stadium,Soccer Field,Grocery Store
1,2.158326,41.392331,FGC,PROVENÇA/FGC,2,Hotel,Restaurant,Mediterranean Restaurant,Cocktail Bar,Tapas Restaurant,Boutique,Sandwich Place,Hostel,Burger Joint,Gym
2,2.11937,41.399203,FGC (L6),REINA ELISENDA/FGC (L6),1,Restaurant,Coffe Shop,Bakery,Breakfast Spot,Tapas Restaurant,Mediterranean Restaurant,Dessert Shop,Pedestrian Plaza,Burger Joint,Diner
3,2.135427,41.397791,FGC (L6),LA BONANOVA/FGC (L6),1,Restaurant,Japanese Restaurant,Italian Restaurant,Coffe Shop,Gastropub,Salad Place,Bakery,Gym,Burger Joint,Bistro
4,2.185391,41.451492,METRO (L11),CASA DE L'AIGUA/METRO (L11),5,Restaurant,Park,Breakfast Spot,Grocery Store,Pharmacy,Pie Shop,Food Court,Monument / Landmark,South American Restaurant,Taco Place
5,2.174473,41.460889,METRO (L11),CIUTAT MERIDIANA/METRO (L11),4,Mediterranean Restaurant,Plaza,Park,Grocery Store,Supermarket,Neighborhood,Comfort Food Restaurant,Food Court,Football Stadium,Monument / Landmark
6,2.168588,41.3872,METRO (L1),CATALUNYA/METRO (L1),2,Hotel,Coffe Shop,Tapas Restaurant,Bookstore,Plaza,Restaurant,Clothing Store,Theater,Sporting Goods Shop,Cocktail Bar
10,2.179581,41.40018,METRO (L2),MONUMENTAL/METRO (L2),1,Restaurant,Coffe Shop,Hotel,Grocery Store,Tapas Restaurant,Mexican Restaurant,Mediterranean Restaurant,Bakery,Bed & Breakfast,Indian Restaurant
11,2.153966,41.37907,METRO (L1),ROCAFORT/METRO (L1),1,Coffe Shop,Hotel,Tapas Restaurant,Mediterranean Restaurant,Restaurant,Burger Joint,Bar,Indian Restaurant,Gym,Cocktail Bar
12,2.168735,41.389295,METRO (L2),PASSEIG DE GRÀCIA/METRO (L2),2,Hotel,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Clothing Store,Hostel,Coffe Shop,Sporting Goods Shop,Bookstore,Cocktail Bar
