,stations,stations Latitude,stations Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Camp Hebron-Teixonera,41.425531839649246,2.146340969265091,Soccer Field
1,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Bar Plaza,41.421941918067155,2.14167862459735,Spanish Restaurant
2,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Bar Smith,41.42420399428366,2.1470507664980234,Bar
3,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Caprabo,41.42494247071446,2.1409794849309587,Grocery Store
4,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Mercat de Vall d'Hebron,41.42422913837504,2.1423549433818363,Farmers Market
5,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Parada T2B,41.425966102035574,2.1431614071416907,Bus Station
6,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Plaça d'Isop,41.42370161689624,2.1456301175891443,Plaza
7,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,"Corporate Sports - Una empresa, un equipo",41.42636581891074,2.146003246307373,Soccer Stadium
8,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,CEM Vall d'Hebron Teixonera,41.425584916112534,2.14658556028849,Athletics & Sports
9,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,(Corparate Sports S.c.p) (Corparate Sports S.c.p),41.42630582540596,2.146681478700373,Soccer Stadium
10,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,LA Teixonera Rugby,41.426475315780024,2.1467678054461574,Stadium
11,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,"Forn ""Pa de Paula""",41.423051,2.146624,Bakery
12,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Patio Andaluz,41.42149879786407,2.1432549762751454,Spanish Restaurant
13,"VALL D'HEBRON/METRO (L3, L5)",41.424923,2.1429869999999998,Palau Olímpic Vall d'Hebron,41.42831155327084,2.1450732738797362,Basketball Court
14,PROVENÇA/FGC,41.392331,2.1583259999999997,La Central,41.3923073118521,2.159686106083793,Bookstore
15,PROVENÇA/FGC,41.392331,2.1583259999999997,Cerveseria Catalana,41.39255154581043,2.1608021787187797,Tapas Restaurant
16,PROVENÇA/FGC,41.392331,2.1583259999999997,Robata,41.390551333659985,2.1585487536043133,Japanese Restaurant
17,PROVENÇA/FGC,41.392331,2.1583259999999997,Olivia Balmes Hotel,41.39228018759861,2.1584753659613183,Hotel
18,PROVENÇA/FGC,41.392331,2.1583259999999997,Cellarer wine bar,41.39063837552845,2.1583095534016383,Lounge
19,PROVENÇA/FGC,41.392331,2.1583259999999997,SandwiChez,41.392643513951185,2.1589920313946376,Sandwich Place
20,PROVENÇA/FGC,41.392331,2.1583259999999997,El Mercader de L' Eixample,41.392323461277755,2.1603494218688923,Restaurant
21,PROVENÇA/FGC,41.392331,2.1583259999999997,FITT Entrenament Personal,41.3919218030136,2.1591023106729947,Gym
22,PROVENÇA/FGC,41.392331,2.1583259999999997,Palacio del Flamenco,41.39340154061588,2.1564821950835444,Performing Arts Venue
23,PROVENÇA/FGC,41.392331,2.1583259999999997,Le Salon,41.39168628253237,2.160593975383743,Salon / Barbershop
24,PROVENÇA/FGC,41.392331,2.1583259999999997,Andreu Xarcuteria i Tastets,41.39473545737505,2.1577613376869693,Deli / Bodega
25,PROVENÇA/FGC,41.392331,2.1583259999999997,Gresca,41.391473286849404,2.1571097689580774,Spanish Restaurant
26,PROVENÇA/FGC,41.392331,2.1583259999999997,Video Instan,41.39032419553152,2.1590864642200676,Video Store
27,PROVENÇA/FGC,41.392331,2.1583259999999997,H10 Art Gallery,41.39194012245123,2.15689895971134,Hotel
28,PROVENÇA/FGC,41.392331,2.1583259999999997,Por Sant,41.39249236967398,2.1586647457943595,Spanish Restaurant
29,PROVENÇA/FGC,41.392331,2.1583259999999997,Foc i Oli,41.390034,2.156935,Sandwich Place
30,PROVENÇA/FGC,41.392331,2.1583259999999997,Azul Tierra,41.394371657965756,2.1571342786021943,Furniture / Home Store
31,PROVENÇA/FGC,41.392331,2.1583259999999997,Creps Barcelona,41.390523756983036,2.158700980699959,Creperie
32,PROVENÇA/FGC,41.392331,2.1583259999999997,Boca Chica,41.39448913697807,2.15987299463802,Cocktail Bar
33,PROVENÇA/FGC,41.392331,2.1583259999999997,Hotel Barcelona Center,41.39154639548174,2.1592532643052817,Hotel
34,PROVENÇA/FGC,41.392331,2.1583259999999997,Hotel Granados 83,41.391829390875856,2.1568575027354884,Hotel
35,PROVENÇA/FGC,41.392331,2.1583259999999997,Boca Grande,41.39444585535952,2.159820003100577,Spanish Restaurant
36,PROVENÇA/FGC,41.392331,2.1583259999999997,Boldú,41.39336945260136,2.1596541712049118,Café
37,PROVENÇA/FGC,41.392331,2.1583259999999997,Mihlton Barcelona,41.39397479391905,2.158012575449457,Hotel
38,PROVENÇA/FGC,41.392331,2.1583259999999997,Yakumanka,41.390258052933426,2.1599503722518416,Peruvian Restaurant
39,PROVENÇA/FGC,41.392331,2.1583259999999997,Osmosis,41.390207838389806,2.1570220775136026,Mediterranean Restaurant
40,PROVENÇA/FGC,41.392331,2.1583259999999997,El Dorado Chicken,41.39302047787192,2.1579604320163583,Peruvian Restaurant
41,PROVENÇA/FGC,41.392331,2.1583259999999997,Room Mate Emma Hotel,41.39264228200726,2.156418349126919,Hotel
42,PROVENÇA/FGC,41.392331,2.1583259999999997,Sant Jordi Hostel Rock Palace,41.39029675481053,2.1607532981902153,Hostel
43,PROVENÇA/FGC,41.392331,2.1583259999999997,Brunch & Cake Rosselló,41.391719012766615,2.155204856194881,Breakfast Spot
44,PROVENÇA/FGC,41.392331,2.1583259999999997,Souvenir,41.390257221082095,2.1601347558095467,Russian Restaurant
45,PROVENÇA/FGC,41.392331,2.1583259999999997,Melo-Jia,41.393521100136724,2.1554320061945207,Chinese Restaurant
46,PROVENÇA/FGC,41.392331,2.1583259999999997,Pastisseria Jansana,41.392314616023455,2.1586587935723824,Gluten-free Restaurant
47,PROVENÇA/FGC,41.392331,2.1583259999999997,Boldú,41.39412326676656,2.156113226507183,Donut Shop
48,PROVENÇA/FGC,41.392331,2.1583259999999997,Tandem,41.389533390976894,2.157835499158821,Cocktail Bar
49,PROVENÇA/FGC,41.392331,2.1583259999999997,Pasteleria Mauri,41.393782467334205,2.160158924215094,Dessert Shop
50,PROVENÇA/FGC,41.392331,2.1583259999999997,Muji,41.3919458011045,2.1617714099373275,Miscellaneous Shop
51,PROVENÇA/FGC,41.392331,2.1583259999999997,N2 Galería,41.39103609333301,2.1580252745903454,Art Gallery
52,PROVENÇA/FGC,41.392331,2.1583259999999997,Lindt,41.39283854340298,2.161317714724044,Chocolate Shop
53,PROVENÇA/FGC,41.392331,2.1583259999999997,The Conica Deluxe B&B,41.39323669867628,2.1553581459261997,Bed & Breakfast
54,PROVENÇA/FGC,41.392331,2.1583259999999997,Bol,41.390881,2.158413,Pet Café
55,PROVENÇA/FGC,41.392331,2.1583259999999997,L'enric,41.390180938186965,2.1592619105851654,Mediterranean Restaurant
56,PROVENÇA/FGC,41.392331,2.1583259999999997,Mosaic Hotel,41.392586,2.161602,Hotel
57,PROVENÇA/FGC,41.392331,2.1583259999999997,Mordisco,41.39454722424152,2.1599941449554954,Mediterranean Restaurant
58,PROVENÇA/FGC,41.392331,2.1583259999999997,Cu-Cut,41.39212153048941,2.156712810307112,Bar
59,PROVENÇA/FGC,41.392331,2.1583259999999997,Casa Kessler Boutique Hostel,41.39056932749817,2.1595082740835414,Hostel
60,PROVENÇA/FGC,41.392331,2.1583259999999997,Tragaluz,41.39472412792863,2.160473091276893,Mediterranean Restaurant
61,PROVENÇA/FGC,41.392331,2.1583259999999997,Oval,41.38967788905819,2.1592884785926554,Burger Joint
62,PROVENÇA/FGC,41.392331,2.1583259999999997,Sephora,41.394412476202845,2.158178018616087,Cosmetics Shop
63,PROVENÇA/FGC,41.392331,2.1583259999999997,Petit Bangkok,41.39231442218891,2.158696282501469,Thai Restaurant
64,PROVENÇA/FGC,41.392331,2.1583259999999997,Buenos Aires Grill Restaurant,41.38926442347294,2.158723884493617,Argentinian Restaurant
65,PROVENÇA/FGC,41.392331,2.1583259999999997,Gallery Hotel,41.39493,2.15932,Hotel
66,PROVENÇA/FGC,41.392331,2.1583259999999997,Solo Pizza,41.3937349508254,2.154760658740997,Pizza Place
67,PROVENÇA/FGC,41.392331,2.1583259999999997,Semproniana,41.39085418861127,2.1547720941084414,Mediterranean Restaurant
68,PROVENÇA/FGC,41.392331,2.1583259999999997,Parodia,41.389941463873875,2.1574076933475177,Cocktail Bar
69,PROVENÇA/FGC,41.392331,2.1583259999999997,3FOCS,41.390237405802914,2.1599704809319134,Grilled Meat Restaurant
70,PROVENÇA/FGC,41.392331,2.1583259999999997,Humble Beer,41.391527,2.154907,Beer Bar
71,PROVENÇA/FGC,41.392331,2.1583259999999997,La Bodegueta de Rambla de Catalunya,41.3935544180898,2.160136087472591,Tapas Restaurant
72,PROVENÇA/FGC,41.392331,2.1583259999999997,Monument Hotel,41.39363357012986,2.1622332142357026,Hotel
73,PROVENÇA/FGC,41.392331,2.1583259999999997,Rodamón Barcelona Hostel,41.39547408487123,2.1587848847709137,Hostel
74,PROVENÇA/FGC,41.392331,2.1583259999999997,Dry Martini,41.39269868602842,2.154122292995453,Cocktail Bar
75,PROVENÇA/FGC,41.392331,2.1583259999999997,Turris,41.392254743918215,2.1542693190858797,Bakery
76,PROVENÇA/FGC,41.392331,2.1583259999999997,Häagen Dazs Café,41.39255297195964,2.1613508382263444,Ice Cream Shop
77,PROVENÇA/FGC,41.392331,2.1583259999999997,Montblanc Boutique,41.39481,2.16113,Paper / Office Supplies Store
78,PROVENÇA/FGC,41.392331,2.1583259999999997,The Mirror Hotel,41.39301700736528,2.1545911525111325,Hotel
79,PROVENÇA/FGC,41.392331,2.1583259999999997,The Corner Hotel Bar and Lounge,41.389165235475545,2.1563466890090095,Hotel Bar
80,PROVENÇA/FGC,41.392331,2.1583259999999997,Broders,41.39264414077335,2.154213428745496,Latin American Restaurant
81,PROVENÇA/FGC,41.392331,2.1583259999999997,Pur Barcelona,41.394593,2.160212,Restaurant
82,PROVENÇA/FGC,41.392331,2.1583259999999997,The Corner Hotel Barcelona,41.38912892832735,2.1563902678690234,Hotel
83,PROVENÇA/FGC,41.392331,2.1583259999999997,La Fabrica del Vermutillo,41.38980273764577,2.159655869247975,Bar
84,PROVENÇA/FGC,41.392331,2.1583259999999997,Alba Granados,41.39046408403522,2.1589359448306866,Spanish Restaurant
85,PROVENÇA/FGC,41.392331,2.1583259999999997,Evasiom,41.391932895687994,2.15458444869283,Spa
86,PROVENÇA/FGC,41.392331,2.1583259999999997,Goiko Grill,41.390907330057956,2.155968236935819,Burger Joint
87,PROVENÇA/FGC,41.392331,2.1583259999999997,La Flauta,41.395012587719584,2.1558757201138237,Spanish Restaurant
88,PROVENÇA/FGC,41.392331,2.1583259999999997,Gaudim,41.3906580677193,2.1618435331399986,Mediterranean Restaurant
89,PROVENÇA/FGC,41.392331,2.1583259999999997,Solange Cocktails & Luxury Spirits,41.3924099735125,2.1540151993484082,Cocktail Bar
90,PROVENÇA/FGC,41.392331,2.1583259999999997,Chivuo's,41.38871774394599,2.1582379016762445,Sandwich Place
91,PROVENÇA/FGC,41.392331,2.1583259999999997,Mikkeller Bar Barcelona,41.38868217199969,2.158163755254493,Beer Bar
92,PROVENÇA/FGC,41.392331,2.1583259999999997,La Pastisseria,41.38944167229212,2.1612907571235045,Pastry Shop
93,PROVENÇA/FGC,41.392331,2.1583259999999997,Hermès,41.39396625948295,2.1623873223815293,Boutique
94,PROVENÇA/FGC,41.392331,2.1583259999999997,NAPA Restaurant,41.392690039287196,2.153505042830652,Mediterranean Restaurant
95,PROVENÇA/FGC,41.392331,2.1583259999999997,Jardins del Palau Robert,41.39600296497824,2.158931942487306,Park
96,PROVENÇA/FGC,41.392331,2.1583259999999997,Out of China,41.390564,2.1565936,Chinese Restaurant
97,PROVENÇA/FGC,41.392331,2.1583259999999997,"Alexandra Barcelona Hotel, Curio Collection by Hilton",41.393136785138154,2.161503019649931,Hotel
98,PROVENÇA/FGC,41.392331,2.1583259999999997,Pepito,41.39268459593692,2.1624025844466046,Burger Joint
99,PROVENÇA/FGC,41.392331,2.1583259999999997,Javier De Las Muelas Dry,41.39277275170964,2.154298054195329,Cocktail Bar
100,PROVENÇA/FGC,41.392331,2.1583259999999997,Mostassa,41.38993992776272,2.157700359821319,Gastropub
101,PROVENÇA/FGC,41.392331,2.1583259999999997,Hemingway Gin & Cocktail Bar,41.38927972966283,2.155945993391888,Cocktail Bar
102,PROVENÇA/FGC,41.392331,2.1583259999999997,Seven Dir,41.39296204490318,2.1622316573486016,Gym
103,PROVENÇA/FGC,41.392331,2.1583259999999997,Non Solo Pizza,41.393828409272125,2.1547244054008954,Italian Restaurant
104,PROVENÇA/FGC,41.392331,2.1583259999999997,Reserva Ibérica,41.390996155540996,2.163306135251844,Spanish Restaurant
105,PROVENÇA/FGC,41.392331,2.1583259999999997,Telefèric,41.38947397332472,2.16080317706394,Tapas Restaurant
106,PROVENÇA/FGC,41.392331,2.1583259999999997,Taktika Berri,41.38852195,2.157554858,Spanish Restaurant
107,PROVENÇA/FGC,41.392331,2.1583259999999997,Restaurante Margherita,41.39506051483153,2.159553238802223,Italian Restaurant
108,PROVENÇA/FGC,41.392331,2.1583259999999997,Gucci,41.39369285698834,2.16316006369319,Boutique
109,PROVENÇA/FGC,41.392331,2.1583259999999997,Cartier,41.39435933706008,2.1624917323950714,Jewelry Store
110,PROVENÇA/FGC,41.392331,2.1583259999999997,Santa Eulalia,41.39504548825303,2.161029433215293,Boutique
111,PROVENÇA/FGC,41.392331,2.1583259999999997,The Alchemix,41.389361,2.159064,Restaurant
112,PROVENÇA/FGC,41.392331,2.1583259999999997,Tempura-Ya,41.39103644846922,2.153447725400455,Japanese Restaurant
