,line,Longitude,Latitude,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,1,-3.645225283556576,40.38976870035243,ALTO DEL ARENAL/1,2,Asian Restaurant,Bar,Grocery Store,Pizza Place,Chinese Restaurant,Building,German Restaurant,Soccer Stadium,Kebab Restaurant,Miscellaneous Shop
6,1,-3.7033178070796913,40.45033105413335,ALVARADO/1,1,Restaurant,Bar,Grocery Store,Pizza Place,Seafood Restaurant,Hotel,Bakery,Frozen Yogurt Shop,Kebab Restaurant,Gastropub
47,1,-3.699375741673241,40.41246302818812,ANTON MARTIN/1,3,Restaurant,Hotel,Bar,Coffe Shop,Theater,Tapas Restaurant,Jazz Club,Bookstore,Hostel,Mexican Restaurant
147,1,-3.692490883566612,40.408846792956474,ATOCHA/1,3,Restaurant,Coffe Shop,Hotel,Bar,Garden,Sandwich Place,Mediterranean Restaurant,Italian Restaurant,Museum,Art Museum
206,1,-3.6893799937155283,40.406586090726144,ATOCHA RENFE/1,3,Restaurant,Hotel,Grocery Store,Garden,Bookstore,Museum,Sandwich Place,Art Museum,Tapas Restaurant,Falafel Restaurant
264,1,-3.676377276244711,40.47680705593772,BAMBU/1,3,Coffe Shop,Mexican Restaurant,Bar,Fish & Chips Shop,Tennis Court,Mediterranean Restaurant,Italian Restaurant,German Restaurant,Kebab Restaurant,Miscellaneous Shop
272,1,-3.702188295886297,40.42904963582931,BILBAO/1,3,Restaurant,Bar,Plaza,Coffe Shop,Ice Cream Shop,Japanese Restaurant,Cocktail Bar,Brewery,Mediterranean Restaurant,Nightclub
372,1,-3.6539143400014304,40.39155774604133,BUENOS AIRES/1,2,Bar,Restaurant,Pizza Place,Electronics Store,American Restaurant,Soccer Stadium,Fast Food Restaurant,Big Box Store,Grocery Store,Gym
384,1,-3.6825932781154513,40.4720227901636,CHAMARTIN/1,3,Restaurant,Platform,Coffe Shop,Bar,Hotel,Gym,Supermarket,Sandwich Place,Wine Bar,Bowling Alley
427,1,-3.618850584099445,40.372381107450174,CONGOSTO/1,1,Restaurant,Automotive Shop,Soccer Field,Skate Park,Basketball Court,Tennis Court,Kebab Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store
432,1,-3.703978476654022,40.44696667800756,CUATRO CAMINOS/1,0,Restaurant,Tapas Restaurant,Bar,Coffe Shop,Grocery Store,Supermarket,Bakery,Soccer Field,Japanese Restaurant,Italian Restaurant
509,1,-3.703028749396468,40.45427874922785,ESTRECHO/1,0,Restaurant,Tapas Restaurant,Bakery,Bar,Pub,Pizza Place,Supermarket,Gym,Seafood Restaurant,Kebab Restaurant
577,1,-3.701811363848994,40.42000685738866,GRAN VIA/1,3,Hotel,Restaurant,Coffe Shop,Plaza,Gourmet Shop,Clothing Store,Sporting Goods Shop,Bookstore,Tapas Restaurant,Bar
677,1,-3.698983453377392,40.43491591143403,IGLESIA/1,1,Restaurant,Tapas Restaurant,Coffe Shop,Italian Restaurant,Bar,Bakery,Mexican Restaurant,Plaza,Japanese Restaurant,Burger Joint
767,1,-3.6134711039363103,40.37018451188382,LA GAVIA/1,2,Restaurant,Grocery Store,Pharmacy,Sushi Restaurant,Supermarket,Skate Park,Asian Restaurant,German Restaurant,Miscellaneous Shop,Building
774,1,-3.5995338882203147,40.363221458113095,LAS SUERTES/1,0,Park,Restaurant,Pizza Place,Skate Park,Sushi Restaurant,Supermarket,Clothing Store,Tapas Restaurant,Coffe Shop,Boutique
786,1,-3.68099094552854,40.404446601213934,MENENDEZ PELAYO/1,0,Restaurant,Bar,Coffe Shop,Museum,Hotel,Ice Cream Shop,Athletics & Sports,Italian Restaurant,Art Gallery,Bakery
850,1,-3.639511225386237,40.38731392982777,MIGUEL HERNANDEZ/1,2,Grocery Store,Pizza Place,Fast Food Restaurant,Coffe Shop,Fruit & Vegetable Store,Chinese Restaurant,Neighborhood,Kebab Restaurant,Miscellaneous Shop,Building
859,1,-3.66414535178604,40.39553550876285,NUEVA NUMANCIA/1,2,Burger Joint,Bakery,Pizza Place,Supermarket,Pub,BBQ Joint,Sandwich Place,Brewery,Ice Cream Shop,Snack Place
891,1,-3.6751373636802835,40.401255680712225,PACIFICO/1,0,Restaurant,Coffe Shop,Bar,Tapas Restaurant,Grocery Store,Gym,Pizza Place,Athletics & Sports,Food & Drink Shop,Bakery
941,1,-3.666807043721634,40.48013291749131,PINAR DE CHAMARTIN/1,1,Restaurant,Gym,Bar,Supermarket,Italian Restaurant,Food,Sports Bar,Diner,Japanese Restaurant,Asian Restaurant
967,1,-3.689182340661554,40.466893623466774,PLAZA DE CASTILLA/1,1,Restaurant,Italian Restaurant,Coffe Shop,Chinese Restaurant,Hotel,Fast Food Restaurant,Electronics Store,Argentinian Restaurant,Burger Joint,Seafood Restaurant
1030,1,-3.658685211486692,40.3926568047608,PORTAZGO/1,2,Gym,Pizza Place,Restaurant,Fast Food Restaurant,Performing Arts Venue,American Restaurant,Concert Hall,Rock Club,Big Box Store,Brewery
1048,1,-3.669061703442904,40.3981918732199,PUENTE DE VALLECAS/1,2,Fast Food Restaurant,Supermarket,Coffe Shop,Tapas Restaurant,Grocery Store,Gym,Hotel,Bakery,Peruvian Restaurant,BBQ Joint
1078,1,-3.7013322873211663,40.441973758517896,RIOS ROSAS/1,0,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Supermarket,Italian Restaurant,Theater,Pizza Place,Japanese Restaurant,Pub
1152,1,-3.624724516699161,40.38216046446645,SIERRA DE GUADALUPE/1,2,Deli / Bodega,Fast Food Restaurant,Department Store,Breakfast Spot,Seafood Restaurant,Church,Grocery Store,Dessert Shop,Shoe Store,Building
1162,1,-3.7032639472488222,40.41687189377045,SOL/1,3,Restaurant,Hotel,Tapas Restaurant,Plaza,Coffe Shop,Hostel,Bookstore,Art Museum,Ice Cream Shop,Gourmet Shop
1262,1,-3.6982583415842796,40.46055088842157,TETUAN/1,1,Restaurant,Coffe Shop,Supermarket,Brazilian Restaurant,Brewery,Chinese Restaurant,Grocery Store,Pizza Place,Gym,Hotel
1302,1,-3.704666474578768,40.412340813197176,TIRSO DE MOLINA/1,3,Restaurant,Hotel,Coffe Shop,Tapas Restaurant,Plaza,Theater,Hostel,Ice Cream Shop,Bistro,Supermarket
1402,1,-3.7011092895468374,40.42618230502953,TRIBUNAL/1,3,Restaurant,Bar,Cocktail Bar,Coffe Shop,Italian Restaurant,Tapas Restaurant,Plaza,Bookstore,Nightclub,Hotel
