,station,line,Latitude,Longitude
0,ALTO DEL ARENAL,1,40.38977,-3.6452253
1,ALVARADO,1,40.450333,-3.7033178999999996
2,ANTON MARTIN,1,40.412464,-3.6993756
3,ATOCHA,1,40.408848,-3.6924907999999994
4,ATOCHA RENFE,1,40.406586,-3.6893800000000003
5,BAMBU,1,40.476807,-3.6763773
6,BILBAO,1,40.42905,-3.7021883
7,BUENOS AIRES,1,40.39156,-3.6539144999999995
8,CHAMARTIN,1,40.472023,-3.6825932999999997
9,CONGOSTO,1,40.37238,-3.6188504999999997
10,CUATRO CAMINOS,1,40.446968,-3.7039785000000003
11,ESTRECHO,1,40.454277000000005,-3.7030287000000004
12,GRAN VIA,1,40.420006,-3.7018112999999997
13,IGLESIA,1,40.434917,-3.6989834000000004
14,LA GAVIA,1,40.370186,-3.613471
15,LAS SUERTES,1,40.36322,-3.5995337999999997
16,MENENDEZ PELAYO,1,40.404446,-3.6809910000000006
17,MIGUEL HERNANDEZ,1,40.387314,-3.639511
18,NUEVA NUMANCIA,1,40.395534999999995,-3.6641455
19,PACIFICO,1,40.401257,-3.6751373
20,PINAR DE CHAMARTIN,1,40.480133,-3.666807
21,PLAZA DE CASTILLA,1,40.466892,-3.6891822999999997
22,PORTAZGO,1,40.39266,-3.6586852
23,PUENTE DE VALLECAS,1,40.398193,-3.6690617
24,RIOS ROSAS,1,40.441975,-3.7013323
25,SIERRA DE GUADALUPE,1,40.38216,-3.6247246
26,SOL,1,40.41687,-3.703264
27,TETUAN,1,40.460552,-3.6982584000000003
28,TIRSO DE MOLINA,1,40.412341999999995,-3.7046664
29,TRIBUNAL,1,40.42618,-3.7011092000000003
30,VALDEACEDERAS,1,40.464417,-3.6950665000000003
31,VALDECARROS,1,40.360065000000006,-3.5931699999999998
32,VILLA DE VALLECAS,1,40.379593,-3.621308
33,ALONSO MARTINEZ,10A,40.428523999999996,-3.6964417000000003
34,AVIACION ESPAÑOLA,10A,40.383633,-3.7839254999999996
35,BATAN,10A,40.407856,-3.7531166
36,BEGOÑA,10A,40.480408000000004,-3.6858517999999996
37,CASA DE CAMPO,10A,40.4032,-3.7610192000000002
39,COLONIA JARDIN,10A,40.396972999999996,-3.7746180000000003
40,CUATRO VIENTOS,10A,40.377697,-3.7915254000000003
41,CUZCO,10A,40.458420000000004,-3.6898625
42,FUENCARRAL,10A,40.49508,-3.6928339999999995
43,GREGORIO MARAÑON,10A,40.437529999999995,-3.6912758
44,JOAQUIN VILUMBRALES,10A,40.349841999999995,-3.8072023
45,LAGO,10A,40.41641,-3.7356377
46,NUEVOS MINISTERIOS,10A,40.446575,-3.692418
48,PLAZA DE ESPAÑA,10A,40.424084,-3.7097046000000002
49,PRINCIPE PIO,10A,40.42103,-3.7203286
50,PUERTA DEL SUR,10A,40.345238,-3.8121161
51,SANTIAGO BERNABEU,10A,40.45158,-3.690382
52,TRES OLIVOS,10A,40.501197999999995,-3.69521
54,BAUNATAL,10B,40.55442,-3.6351337
55,HOSPITAL INFANTA SOFIA,10B,40.55976,-3.6114657
56,LA GRANJA,10B,40.527596,-3.6585996
57,LA MORALEJA,10B,40.531948,-3.635571
58,LAS TABLAS,10B,40.508324,-3.6694467000000004
59,MANUEL DE FALLA,10B,40.55048,-3.6468835
60,MARQUES DE LA VALDAVIA,10B,40.54102,-3.6373925000000003
61,MONTECARMELO,10B,40.50525,-3.6957593
62,REYES CATOLICOS,10B,40.550373,-3.6234032999999997
63,RONDA DE LA COMUNICACION,10B,40.515533000000005,-3.6627784
65,ABRANTES,11,40.380829999999996,-3.7279112000000003
