,stations,stations Latitude,stations Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,Stones Rock Bar,40.39197191847791,-3.649905287896187,Bar
1,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,Calle Pedro Laborde,40.388294156937064,-3.648227424538766,Building
2,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,AhorraMas,40.39102187290396,-3.643129403852027,Grocery Store
3,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,Restaurante chino Jardín de bambú,40.38888369590785,-3.6426097317111625,Chinese Restaurant
4,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,Jardin Bambu,40.38860169995164,-3.6410556965305783,Asian Restaurant
5,ALTO DEL ARENAL/1,40.38976870035243,-3.645225283556576,Telepizza Miguel Hernández,40.38772843750632,-3.6401203290397905,Pizza Place
6,ALVARADO/1,40.45033105413335,-3.7033178070796913,Piccola Napoli,40.449726,-3.701362,Pizza Place
7,ALVARADO/1,40.45033105413335,-3.7033178070796913,Mercado de Maravillas,40.44906425291458,-3.7025804738988684,Farmers Market
8,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Miguiña,40.451368255752776,-3.701523125195277,Bakery
9,ALVARADO/1,40.45033105413335,-3.7033178070796913,Restaurante Dadam,40.450156008805585,-3.701950475176818,Korean Restaurant
10,ALVARADO/1,40.45033105413335,-3.7033178070796913,Naomi Japonés,40.45267622427877,-3.7005609078034314,Japanese Restaurant
11,ALVARADO/1,40.45033105413335,-3.7033178070796913,Cervecería Polar,40.45241305959108,-3.7070186724117242,Bar
12,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Andaluza,40.44833345692952,-3.7030665745182314,Coffee Shop
13,ALVARADO/1,40.45033105413335,-3.7033178070796913,Restaurante Persa Mr Kabab,40.44750511378491,-3.701258492093481,Middle Eastern Restaurant
14,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Taberna de Domínguez,40.45061401519829,-3.7045180530846267,Spanish Restaurant
15,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Bahia,40.45219439788138,-3.699454176657762,Restaurant
16,ALVARADO/1,40.45033105413335,-3.7033178070796913,Nyx Hotel Madrid,40.45036926204063,-3.6979285802940356,Hotel
17,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Gintonería de Candilón,40.45250156858069,-3.699227174013778,Pub
18,ALVARADO/1,40.45033105413335,-3.7033178070796913,Jardin Metropolitano Hotel Madrid,40.44709574725257,-3.705776053872072,Hotel
19,ALVARADO/1,40.45033105413335,-3.7033178070796913,Ivorypress,40.45185214235775,-3.6982002850745723,Art Gallery
20,ALVARADO/1,40.45033105413335,-3.7033178070796913,Naveira do Mar,40.45242816342607,-3.7075493603702516,Seafood Restaurant
21,ALVARADO/1,40.45033105413335,-3.7033178070796913,Viavélez,40.452314878141024,-3.6981016013788146,Gastropub
22,ALVARADO/1,40.45033105413335,-3.7033178070796913,Enigma Exprés,40.44714721492867,-3.7017629791898186,General Entertainment
23,ALVARADO/1,40.45033105413335,-3.7033178070796913,City Yoga,40.44748668438568,-3.7002129950106695,Yoga Studio
24,ALVARADO/1,40.45033105413335,-3.7033178070796913,Gaztelupe,40.44989139517627,-3.6982789990982603,Spanish Restaurant
25,ALVARADO/1,40.45033105413335,-3.7033178070796913,Asador Guetaria,40.447753047,-3.698483083,Spanish Restaurant
26,ALVARADO/1,40.45033105413335,-3.7033178070796913,AltaFit Cuatro Caminos,40.44882220412304,-3.7033877291264736,Gym / Fitness Center
27,ALVARADO/1,40.45033105413335,-3.7033178070796913,Panaderia Granier,40.45043889998574,-3.7033058088683313,Bakery
28,ALVARADO/1,40.45033105413335,-3.7033178070796913,Mallorca,40.451038351917546,-3.698401304384057,Deli / Bodega
29,ALVARADO/1,40.45033105413335,-3.7033178070796913,Norte y Sur,40.44635707209761,-3.70384198905253,Seafood Restaurant
30,ALVARADO/1,40.45033105413335,-3.7033178070796913,L@ T@BERN@ de pradamont,40.44686498453332,-3.7055025481609514,Spanish Restaurant
31,ALVARADO/1,40.45033105413335,-3.7033178070796913,VIPS Bravo Murillo,40.448162,-3.7039852,Restaurant
32,ALVARADO/1,40.45033105413335,-3.7033178070796913,Springfield,40.4483779821249,-3.70373512115058,Clothing Store
33,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Esquina Caribeña,40.44886736414621,-3.7047410422433593,Latin American Restaurant
34,ALVARADO/1,40.45033105413335,-3.7033178070796913,Lidl,40.44893933227971,-3.7037254395064947,Grocery Store
35,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Antigua Churreria,40.45467453551918,-3.7027773238431676,Breakfast Spot
36,ALVARADO/1,40.45033105413335,-3.7033178070796913,Penalti Lounge Bar,40.44697119284837,-3.7065200353726286,Lounge
37,ALVARADO/1,40.45033105413335,-3.7033178070796913,llaollao,40.453041030230196,-3.703041987382263,Frozen Yogurt Shop
38,ALVARADO/1,40.45033105413335,-3.7033178070796913,Glorieta de Cuatro Caminos,40.44738378251114,-3.7038322053444817,Plaza
39,ALVARADO/1,40.45033105413335,-3.7033178070796913,100 Montaditos,40.447476517931975,-3.703848706283952,Sandwich Place
40,ALVARADO/1,40.45033105413335,-3.7033178070796913,Taco Bell,40.447895,-3.7036686,Mexican Restaurant
41,ALVARADO/1,40.45033105413335,-3.7033178070796913,Mesón Los Aros II,40.450431,-3.706047,Spanish Restaurant
42,ALVARADO/1,40.45033105413335,-3.7033178070796913,Dunkin' Coffee Bravo Murillo,40.45121203533531,-3.7035769969415924,Donut Shop
43,ALVARADO/1,40.45033105413335,-3.7033178070796913,la Sirena,40.447117323769746,-3.704978898428636,Grocery Store
44,ALVARADO/1,40.45033105413335,-3.7033178070796913,La Felicidad,40.447063942098595,-3.707219055128995,Bar
45,ALVARADO/1,40.45033105413335,-3.7033178070796913,Pizza Hut,40.454511912032935,-3.703269331947594,Pizza Place
46,ALVARADO/1,40.45033105413335,-3.7033178070796913,Istanbul Döner Kebap,40.45466158377322,-3.7027300459265957,Kebab Restaurant
47,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Fogg Birra and Cheese,40.41227536098442,-3.69798791617441,Pub
48,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Yoka Loka,40.41161458501999,-3.698692811574475,Sushi Restaurant
49,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Alimentación Quiroga,40.413759722199444,-3.6994574585588165,Grocery Store
50,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Ferreteria By Ego,40.412558,-3.699631,Restaurant
51,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Sur,40.411135324189495,-3.699521331741858,Restaurant
52,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,NAP Neapolitan Authentic Pizza,40.41082784575748,-3.700475451857145,Pizza Place
53,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Axel Hotel Madrid,40.413181423395386,-3.7005688301093334,Hotel
54,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Cine Doré,40.41183256074677,-3.6992668712271692,Movie Theater
55,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Esperanza,40.41149716350271,-3.6994495684985402,Mediterranean Restaurant
56,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Mercado de Antón Martín,40.41152590000001,-3.6987288,Market
57,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Plenti,40.41213451312291,-3.696623656621767,Café
58,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Libreria Cafe El Dinosaurio Todavia Estaba Alli,40.41167506219228,-3.700300547654981,Café
59,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Sanabresa,40.41256047164362,-3.6984811188512157,Mediterranean Restaurant
60,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Pizzateca,40.4127321420432,-3.6994006843348686,Pizza Place
61,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Gofio by Cicero Canary,40.41385634258089,-3.6982943941974873,Restaurant
62,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Casa Patas,40.41267737917284,-3.7017365524042884,Performing Arts Venue
63,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Far home Atocha,40.41331603501434,-3.700853223546797,Hostel
64,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Librería de Montaña - Desnivel,40.41335167974752,-3.6998780050890727,Bookstore
65,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Casa Pachuco,40.41082162929018,-3.6994234493363587,Tapas Restaurant
66,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Casa González,40.41398980434345,-3.698821409425091,Deli / Bodega
67,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Fugitiva,40.4113090168111,-3.6986633938938414,Bookstore
68,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Giolatto,40.41289120242951,-3.700055684503051,Ice Cream Shop
69,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Salmon Gurú,40.41486660560401,-3.6995319613728506,Cocktail Bar
70,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Hotel NH Collection Madrid Palacio de Tepa,40.41379972837331,-3.7016755766313,Hotel
71,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Triciclo Restaurante y Barra,40.412909750560765,-3.697167025191445,Restaurant
72,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Buns & Bones,40.41138511501041,-3.698781260856503,Grilled Meat Restaurant
73,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Casa Alberto,40.413808,-3.700124,Spanish Restaurant
74,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Plaza de Antón Martín,40.41245421442554,-3.6994664933938814,Plaza
75,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Academia Flamenco Amor de Dios,40.4115945871434,-3.698702234890164,Dance Studio
76,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,la saletta,40.41163590801957,-3.6986855712936584,Italian Restaurant
77,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Colmo,40.41159759840829,-3.6996274045843887,Bar
78,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Revoltosa De Prado,40.414541,-3.699663,Spanish Restaurant
79,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Mono de la Pila,40.411637265101795,-3.698740498693599,Latin American Restaurant
80,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Perlora,40.41233403314196,-3.6995679467201166,Seafood Restaurant
81,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Casa Pueblo,40.41461381230456,-3.6985981117031463,Spanish Restaurant
82,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Dos Gardenias,40.413029716325006,-3.697696668986562,Bar
83,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Hotel Catalonia Atocha ****,40.41184272396261,-3.6978378510433196,Hotel
84,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Pannus,40.411864,-3.698547,Food & Drink Shop
