,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,ABRANTES/11,Restaurant,Pizza Place,Soccer Field,Fast Food Restaurant,Athletics & Sports,Park,Lake,Gym Pool,Arcade,Office
1,ACACIAS/5,Tapas Restaurant,Art Gallery,Restaurant,Bar,Gym,Pizza Place,Theater,Event Space,Sporting Goods Shop,Bookstore
2,AEROPUERTO T1 T2 T3/8,Coffe Shop,Airport Service,Airport Terminal,Duty-free Shop,Rental Car Location,Airport Lounge,Airport Gate,Bus Station,Diner,Frozen Yogurt Shop
3,AEROPUERTO T4/8,Airport Service,Restaurant,Coffe Shop,Airport Lounge,Deli / Bodega,Fast Food Restaurant,Bus Station,Accessories Store,Rental Car Location,Police Station
4,"AGUILAS, LAS/C-5",Restaurant,Bar,Shopping Mall,Gym Pool,Convenience Store,Seafood Restaurant,Park,Smoke Shop,Sporting Goods Shop,Tapas Restaurant
5,ALAMEDA DE OSUNA/5,Restaurant,Smoke Shop,Bakery,Hotel,Breakfast Spot,Chinese Restaurant,Fried Chicken Joint,Cocktail Bar,Italian Restaurant,Shop & Service
6,ALFONSO XIII/4,Coffe Shop,Restaurant,Seafood Restaurant,Bar,Tapas Restaurant,Bakery,Rock Club,Burger Joint,Park,Mexican Restaurant
7,ALMENDRALES/3,Restaurant,Seafood Restaurant,Bar,Gastropub,Pub,Chinese Restaurant,Fast Food Restaurant,Gym,Grocery Store,BBQ Joint
8,ALONSO CANO/7A,Restaurant,Tapas Restaurant,Bar,Theater,Mexican Restaurant,Italian Restaurant,Japanese Restaurant,Coffe Shop,Building,Bistro
9,ALONSO MARTINEZ/10A,Restaurant,Hotel,Plaza,Italian Restaurant,Coffe Shop,Bistro,Japanese Restaurant,Bakery,Nightclub,Cocktail Bar
10,ALSACIA/2,Chinese Restaurant,Multiplex,Hotel,Breakfast Spot,Burger Joint,Big Box Store,Shoe Store,Clothing Store,Trail,Plaza
11,ALTO DE EXTREMADURA/6,Grocery Store,Restaurant,Stadium,Bar,Supermarket,Athletics & Sports,Student Center,Park,Sandwich Place,Pizza Place
12,ALTO DEL ARENAL/1,Asian Restaurant,Bar,Grocery Store,Pizza Place,Chinese Restaurant,Building,German Restaurant,Soccer Stadium,Kebab Restaurant,Miscellaneous Shop
13,ALUCHE/5,Bar,Tapas Restaurant,Restaurant,Chinese Restaurant,Seafood Restaurant,Sandwich Place,Bakery,Latin American Restaurant,Plaza,Shopping Mall
14,ALVARADO/1,Restaurant,Bar,Grocery Store,Pizza Place,Seafood Restaurant,Hotel,Bakery,Frozen Yogurt Shop,Kebab Restaurant,Gastropub
15,ANTON MARTIN/1,Restaurant,Hotel,Bar,Coffe Shop,Theater,Tapas Restaurant,Jazz Club,Bookstore,Hostel,Mexican Restaurant
16,ANTONIO MACHADO/7A,Restaurant,Park,Mediterranean Restaurant,Coffe Shop,Pharmacy,Tapas Restaurant,Gym,Supermarket,Soccer Field,Building
17,ARAVACA/C-10,Coffe Shop,Restaurant,Brewery,Trail,Paella Restaurant,Food,American Restaurant,Deli / Bodega,Sushi Restaurant,Athletics & Sports
18,ARGANZUELA-PLANETARIO/6,Restaurant,Bar,Tapas Restaurant,Coffe Shop,Gym,Wine Bar,Mexican Restaurant,Pharmacy,Sushi Restaurant,Argentinian Restaurant
19,ARGÜELLES/3,Restaurant,Tapas Restaurant,Bar,Coffe Shop,Sandwich Place,Pub,Burger Joint,Brewery,Ice Cream Shop,Bookstore
20,ARTILLEROS/9A,Restaurant,Shopping Mall,Playground,Optical Shop,Grocery Store,Flower Shop,Fried Chicken Joint,Plaza,Park,Skating Rink
21,ARTURO SORIA/4,Restaurant,Chinese Restaurant,Bar,Fast Food Restaurant,Food & Drink Shop,Smoke Shop,Argentinian Restaurant,Convenience Store,Paper / Office Supplies Store,Pharmacy
