,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7543263,-79.44911696639593
1,M4A,North York,Victoria Village,43.7543263,-79.44911696639593
2,M5A,Downtown Toronto,Harbourfront,43.6563221,-79.3809161
3,M6A,North York,"Lawrence Heights, Lawrence Manor",43.7543263,-79.44911696639593
4,M7A,Downtown Toronto,Queen's Park,43.6563221,-79.3809161
5,M9A,Queen's Park,Queen's Park,43.659659,-79.3903399
6,M1B,Scarborough,"Rouge, Malvern",43.773077,-79.257774
7,M3B,North York,Don Mills North,43.7543263,-79.44911696639593
8,M4B,East York,"Woodbine Gardens, Parkview Hill",43.699971000000005,-79.33251996261595
9,M5B,Downtown Toronto,"Ryerson, Garden District",43.6563221,-79.3809161
10,M6B,North York,Glencairn,43.7543263,-79.44911696639593
11,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.671459150000004,-79.55249206611668
12,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.773077,-79.257774
13,M3C,North York,"Flemingdon Park, Don Mills South",43.7543263,-79.44911696639593
14,M4C,East York,Woodbine Heights,43.699971000000005,-79.33251996261595
15,M5C,Downtown Toronto,St. James Town,43.6563221,-79.3809161
16,M6C,York,Humewood-Cedarvale,43.67910515,-79.49118414007154
17,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.671459150000004,-79.55249206611668
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.773077,-79.257774
19,M4E,East Toronto,The Beaches,43.6247901,-79.3934918
20,M5E,Downtown Toronto,Berczy Park,43.6563221,-79.3809161
21,M6E,York,Caledonia-Fairbanks,43.67910515,-79.49118414007154
22,M1G,Scarborough,Woburn,43.773077,-79.257774
23,M4G,East York,Leaside,43.699971000000005,-79.33251996261595
24,M5G,Downtown Toronto,Central Bay Street,43.6563221,-79.3809161
25,M6G,Downtown Toronto,Christie,43.6563221,-79.3809161
26,M1H,Scarborough,Cedarbrae,43.773077,-79.257774
27,M2H,North York,Hillcrest Village,43.7543263,-79.44911696639593
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543263,-79.44911696639593
29,M4H,East York,Thorncliffe Park,43.699971000000005,-79.33251996261595
30,M5H,Downtown Toronto,"Adelaide, King, Richmond",43.6563221,-79.3809161
31,M6H,West Toronto,"Dovercourt Village, Dufferin",43.653963,-79.387207
32,M1J,Scarborough,Scarborough Village,43.773077,-79.257774
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7543263,-79.44911696639593
34,M3J,North York,"Northwood Park, York University",43.7543263,-79.44911696639593
35,M4J,East York,East Toronto,43.699971000000005,-79.33251996261595
36,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6563221,-79.3809161
37,M6J,West Toronto,"Little Portugal, Trinity",43.653963,-79.387207
38,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.773077,-79.257774
39,M2K,North York,Bayview Village,43.7543263,-79.44911696639593
40,M3K,North York,"CFB Toronto, Downsview East",43.7543263,-79.44911696639593
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6247901,-79.3934918
42,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6563221,-79.3809161
43,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.653963,-79.387207
44,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.773077,-79.257774
45,M2L,North York,"Silver Hills, York Mills",43.7543263,-79.44911696639593
46,M3L,North York,Downsview West,43.7543263,-79.44911696639593
47,M4L,East Toronto,"The Beaches West, India Bazaar",43.6247901,-79.3934918
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6563221,-79.3809161
49,M6L,North York,"Downsview, North Park, Upwood Park",43.7543263,-79.44911696639593
50,M9L,North York,Humber Summit,43.7543263,-79.44911696639593
51,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.773077,-79.257774
52,M2M,North York,"Newtonbrook, Willowdale",43.7543263,-79.44911696639593
53,M3M,North York,Downsview Central,43.7543263,-79.44911696639593
54,M4M,East Toronto,Studio District,43.6247901,-79.3934918
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7543263,-79.44911696639593
56,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.67910515,-79.49118414007154
57,M9M,North York,"Emery, Humberlea",43.7543263,-79.44911696639593
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.773077,-79.257774
59,M2N,North York,Willowdale South,43.7543263,-79.44911696639593
60,M3N,North York,Downsview Northwest,43.7543263,-79.44911696639593
61,M4N,Central Toronto,Lawrence Park,43.653963,-79.387207
62,M5N,Central Toronto,Roselawn,43.653963,-79.387207
63,M6N,York,"The Junction North, Runnymede",43.67910515,-79.49118414007154
64,M9N,York,Weston,43.67910515,-79.49118414007154
65,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.773077,-79.257774
66,M2P,North York,York Mills West,43.7543263,-79.44911696639593
67,M4P,Central Toronto,Davisville North,43.653963,-79.387207
68,M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.653963,-79.387207
69,M6P,West Toronto,"High Park, The Junction South",43.653963,-79.387207
70,M9P,Etobicoke,Westmount,43.671459150000004,-79.55249206611668
71,M1R,Scarborough,"Maryvale, Wexford",43.773077,-79.257774
72,M2R,North York,Willowdale West,43.7543263,-79.44911696639593
73,M4R,Central Toronto,North Toronto West,43.653963,-79.387207
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.653963,-79.387207
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.653963,-79.387207
76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6668555,-79.5879563
77,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.671459150000004,-79.55249206611668
78,M1S,Scarborough,Agincourt,43.773077,-79.257774
79,M4S,Central Toronto,Davisville,43.653963,-79.387207
80,M5S,Downtown Toronto,"Harbord, University of Toronto",43.6563221,-79.3809161
81,M6S,West Toronto,"Runnymede, Swansea",43.653963,-79.387207
82,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.773077,-79.257774
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.653963,-79.387207
84,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6563221,-79.3809161
85,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.773077,-79.257774
86,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.653963,-79.387207
