,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,"ALFONS EL MAGNÀNIM/TRAMVIA (T5, T6)",Restaurant,Grocery Store,Food & Drink Shop,Skate Park,Diner,Big Box Store,Supermarket,Bakery,Climbing Gym,Coffe Shop
1,ALFONS X/METRO (L4),Coffe Shop,Grocery Store,Restaurant,Tapas Restaurant,Bakery,Chinese Restaurant,Gym,Park,Soccer Field,Seafood Restaurant
2,ARC DE TRIOMF/RENFE,Coffe Shop,Hotel,Restaurant,Bistro,Gym,Pizza Place,Hostel,Mediterranean Restaurant,Chinese Restaurant,Breakfast Spot
3,AUDITORI/TRAMVIA (T4),Restaurant,Coffe Shop,Hotel,Bakery,Theater,Gym,Bar,Supermarket,Music Venue,Rock Club
4,AV. TIBIDABO/TRAMVIA BLAU,Plaza,Park,Restaurant,Mediterranean Restaurant,Grocery Store,Bakery,Cocktail Bar,Planetarium,Bar,Supermarket
5,"AVINGUDA DE XILE/TRAMVIA (T1,T2,T3)",Restaurant,Gym,Bar,Nightclub,Soccer Field,Coffe Shop,Supermarket,Mediterranean Restaurant,Hotel,Hockey Arena
6,AVINGUDA DEL TIBIDABO/FGC,Bakery,Coffe Shop,Restaurant,Park,Seafood Restaurant,Grocery Store,Supermarket,Plaza,Mediterranean Restaurant,Breakfast Spot
7,BAC DE RODA/METRO (L2),Supermarket,Gym,Restaurant,Park,Food & Drink Shop,Burger Joint,Grocery Store,Bakery,Soccer Field,Mediterranean Restaurant
8,BADAL/METRO (L5),Pizza Place,Restaurant,Bakery,Supermarket,Tapas Restaurant,Hostel,Gym,Coffe Shop,Mexican Restaurant,Sushi Restaurant
9,BAIXADOR DE VALLVIDRERA/FGC,Restaurant,Lake,Tourist Information Center,Hostel,Castle,Port,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark
10,BARCELONETA/METRO (L4),Tapas Restaurant,Cocktail Bar,Restaurant,Wine Bar,Seafood Restaurant,Bar,Mediterranean Restaurant,Burger Joint,Coffe Shop,Mexican Restaurant
11,BARÓ DE VIVER/METRO (L1),Plaza,Coffe Shop,Salon / Barbershop,Park,Track Stadium,Supermarket,Soccer Field,Burger Joint,Neighborhood,Rock Club
12,BESÒS MAR/METRO (L4),Restaurant,Coffe Shop,Hotel,Clothing Store,Diner,Breakfast Spot,Big Box Store,Hotel Bar,Donut Shop,Sporting Goods Shop
13,BESÒS/METRO (L4),Coffe Shop,Tapas Restaurant,Restaurant,Grocery Store,Market,Food & Drink Shop,Skate Park,Bar,Supermarket,Bakery
14,BOGATELL/METRO (L4),Restaurant,Coffe Shop,Hotel,Bar,Music Venue,Art Gallery,Vegetarian / Vegan Restaurant,Rock Club,Bakery,Dance Studio
15,"BON PASTOR/METRO (L9, L10)",Restaurant,Coffe Shop,Italian Restaurant,Mediterranean Restaurant,Grocery Store,Bakery,Athletics & Sports,Football Stadium,Monument / Landmark,South American Restaurant
16,BONANOVA/FGC,Restaurant,Japanese Restaurant,Italian Restaurant,Coffe Shop,Gastropub,Salad Place,Bakery,Gym,Burger Joint,Bistro
17,CA L'ARANYÓ/TRAMVIA (T4),Restaurant,Hotel,Japanese Restaurant,Mediterranean Restaurant,Art Museum,Vegetarian / Vegan Restaurant,Italian Restaurant,Clothing Store,Tapas Restaurant,Comfort Food Restaurant
18,CAMP DE L'ARPA/METRO (L5),Restaurant,Grocery Store,Supermarket,Bakery,Tapas Restaurant,Mediterranean Restaurant,Hotel,Pharmacy,Mexican Restaurant,Middle Eastern Restaurant
19,"CAN JAUMANDREU/TRAMVIA (T5, T6)",Restaurant,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Supermarket,Clothing Store,Park,Cocktail Bar,Vegetarian / Vegan Restaurant,Dessert Shop
20,CANYELLES/METRO (L3),Market,Soccer Field,Plaza,Food & Drink Shop,Hot Spring,Park,Grocery Store,Mediterranean Restaurant,Tapas Restaurant,Coffe Shop
