,station,line,Latitude,Longitude
0,AEROPUERTO T4,C-1,40.49176762416515,-3.593336761776833
1,ATOCHA,C-1,40.40658651228024,-3.6893092868843853
2,CHAMARTIN,C-1,40.47209555413991,-3.6824760485471546
3,DELICIAS,C-1,40.400367595318635,-3.6927692985734324
4,FUENTE DE LA MORA,C-1,40.4847413558896,-3.662829237134829
5,MENDEZ ALVARO,C-1,40.395373531545985,-3.678083333693072
6,NUEVOS MINISTERIOS,C-1,40.44661350044421,-3.6923477073536035
7,PIRAMIDES,C-1,40.40258818141603,-3.711340844052455
8,PRINCIPE PIO,C-1,40.421064507994544,-3.7202701157641935
9,RECOLETOS,C-1,40.42340615992542,-3.6908601632799383
10,VALDEBEBAS,C-1,40.48229541766309,-3.616437309025623
11,ARAVACA,C-10,40.4483218454516,-3.785867623306033
12,ATOCHA,C-10,40.40658651228024,-3.6893092868843853
13,"BARRIAL-C.COM.POZUELO, EL",C-10,40.46536911220596,-3.8077462504578428
14,CHAMARTIN,C-10,40.47209555413991,-3.6824760485471546
15,DELICIAS,C-10,40.400367595318635,-3.6927692985734324
16,FUENTE DE LA MORA,C-10,40.4847413558896,-3.662829237134829
17,GALAPAGAR-LA NAVATA,C-10,40.60010752011099,-3.9818645048730548
18,MAJADAHONDA,C-10,40.47427123756694,-3.8453554464692945
19,"MATAS, LAS",C-10,40.552512233963505,-3.89684104191362
20,MENDEZ ALVARO,C-10,40.395373531545985,-3.678083333693072
21,NUEVOS MINISTERIOS,C-10,40.44661350044421,-3.6923477073536035
22,PINAR DE LAS ROZAS,C-10,40.52229261381278,-3.88216547527542
23,PIRAMIDES,C-10,40.40258818141603,-3.711340844052455
24,POZUELO,C-10,40.447260086569074,-3.8001238746529773
25,PRINCIPE PIO,C-10,40.421064507994544,-3.7202701157641935
26,RECOLETOS,C-10,40.42340615992542,-3.6908601632799383
27,"ROZAS, LAS",C-10,40.494228236957326,-3.8681329046096558
28,TORRELODONES,C-10,40.57450104755433,-3.956549700643582
29,VILLALBA,C-10,40.62635780522544,-4.00810707481334
30,ALCALÁ DE HENARES,C-2,40.489025382703794,-3.366345988497244
31,ALCALÁ DE HENARES UNIVERSIDAD,C-2,40.505335483779135,-3.335417591794884
32,ASAMBLEA DE MADRID-ENTREVIAS,C-2,40.381666238433745,-3.668014615023188
33,ATOCHA,C-2,40.40658651228024,-3.6893092868843853
34,AZUQUECA,C-2,40.561030509406315,-3.265471041498204
35,AZUQUECA,C-2,40.561030509406315,-3.265471041498204
36,CHAMARTIN,C-2,40.47209555413991,-3.6824760485471546
37,COSLADA,C-2,40.42373013416115,-3.561146077392619
38,"GARENA, LA",C-2,40.48043271733471,-3.3931755498978244
39,GUADALAJARA,C-2,40.64408200371336,-3.1823959246544775
